what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1331816851591
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1331816851592
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1331816851592
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1331816851592
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1331816851593
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1331816851593
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1331816851593
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1331816851594
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1331816851594
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1331816851595
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1331816851595
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1331816851596
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1331816851596
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1331816851597
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1331816851597
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1331816851598
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1331816851598
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1331816851599
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1331816851600
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1331816851600
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1331816851601
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1331816851601
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1331816851602
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1331816851603
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1331816851603
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1331816851603
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1331816851604
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1331816851604
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1331816851605
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331816851606
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331816851607
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331816851608
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1331816851608
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1331816851609
os,sysinfo,,,"win32",1331816851612
arch,sysinfo,,,"x86_64",1331816851612
ws,sysinfo,,,"win32",1331816851612
locale,sysinfo,,,"nl_NL",1331816851612
processors,sysinfo,,,"8",1331816851612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331816851612
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1331816851612
java.specification.name,sysinfo,,,"Java Platform API Specification",1331816851612
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331816851612
java.specification.version,sysinfo,,,"1.6",1331816851612
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331816851612
java.version,sysinfo,,,"1.6.0_29",1331816851612
java.vm.info,sysinfo,,,"mixed mode",1331816851612
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331816851612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331816851612
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331816851612
java.vm.specification.version,sysinfo,,,"1.0",1331816851612
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331816851612
java.vm.version,sysinfo,,,"20.4-b02",1331816851612
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331816851623
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331816853061
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331816853078
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1331816853096
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1331816879404
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1331816879457
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1331816879458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331816881228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331816895299
failed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1331816895307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331816905544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331817401914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331817408863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822066233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822066811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822087512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822101895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822264588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822271935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822285757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822317425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822321497
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1331822331169
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1331822354927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331822355333
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1331822355427
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1331822355458
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1331822355723
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1331822355754
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1331822355801
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1331822357377
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1331822357392
